Date,VauDejes_temp,VauDejes_rain,VauDejes_humi,Koman_temp,Koman_rain,Koman_humi,Puke_temp,Puke_rain,Puke_humi,Dragobi_temp,Dragobi_rain,Dragobi_humi,Theth_temp,Theth_rain,Theth_humi,Kukes_temp,Kukes_rain,Kukes_humi,Okshtun_temp,Okshtun_rain,Okshtun_humi,Fierze_temp,Fierze_rain,Fierze_humi,Zogaj_temp,Zogaj_rain,Zogaj_humi,Peshkopi_temp,Peshkopi_rain,Peshkopi_humi,Inflows,InflowsTributary,InflowsTributary2
04/12/2023 19:00:00,6.4,0.0,50,3.0,0.0,86,1.8,0.0,88,2.0,0.0,68,7.3,0.0,80,6.4,0.0,60,0.3,0.0,64,1.9,0.0,80,6.5,0.0,68,1.2,0.0,85,1000.0,1299.717101,100.0
04/12/2023 20:00:00,6.3,0.0,52,3.1,0.0,84,1.8,0.0,91,3.1,0.0,51,6.8,0.0,84,6.3,0.0,61,0.4,0.0,64,1.9,0.0,80,6.4,0.0,63,1.1,0.0,85,1000.0,1250.197364,100.0
04/12/2023 21:00:00,6.2,0.0,56,3.1,0.0,86,2.9,0.0,87,3.0,0.0,58,6.3,0.0,84,6.2,0.0,63,0.2,0.0,65,1.7,0.0,77,6.0,0.0,65,1.0,0.0,86,1000.0,1149.637884,100.0
04/12/2023 22:00:00,5.7,0.0,58,2.6,0.0,86,1.9,0.0,86,2.7,0.0,74,6.1,0.0,83,5.7,0.0,68,0.4,0.0,63,1.6,0.0,84,6.1,0.0,67,0.2,0.0,87,1100.0,1100.0,100.0
04/12/2023 23:00:00,6.5,0.0,62,3.3,0.0,81,2.0,0.0,80,2.7,0.0,86,6.3,0.0,82,6.5,0.0,70,0.6,0.0,64,1.8,0.0,85,6.0,0.0,68,0.7,0.0,84,1200.0,1000.0,100.0
05/12/2023 00:00:00,6.4,0.0,71,4.0,0.0,83,2.2,0.0,77,2.5,0.0,92,6.6,0.0,82,6.4,0.0,74,0.5,0.0,68,2.1,0.0,80,5.4,0.0,76,1.4,0.0,82,1500.0,900.0,140.0681747
05/12/2023 01:00:00,6.6,0.0,78,4.3,0.0,88,2.8,0.0,75,2.4,0.0,95,6.6,0.0,86,6.6,0.0,78,1.1,0.0,70,2.7,0.0,82,5.2,0.0,80,1.8,0.0,88,2000.0,880.0,134.9095707
05/12/2023 02:00:00,6.3,0.0,83,4.2,0.0,87,3.4,0.0,76,2.0,0.0,94,6.2,0.0,88,6.3,0.0,80,0.8,0.0,79,3.3,0.0,78,4.7,0.0,92,1.8,0.0,88,2000.0,820.0,120.4414644
05/12/2023 03:00:00,6.4,0.0,86,4.2,0.0,81,3.8,0.0,77,1.9,0.0,95,5.7,0.0,91,6.4,0.0,80,0.8,0.0,82,3.7,0.0,78,4.5,0.0,95,1.8,0.0,89,2000.0,800.0,120.0127808
05/12/2023 04:00:00,6.6,0.0,83,4.4,0.0,77,4.1,0.0,78,1.8,0.0,96,5.5,0.0,91,6.6,0.0,79,0.9,0.0,86,3.3,0.0,78,4.7,0.0,97,1.7,0.0,89,2000.0,800.0,114.7126733
05/12/2023 05:00:00,6.7,0.0,83,4.5,0.0,77,4.0,0.0,82,2.0,0.0,95,5.7,0.0,89,6.7,0.0,77,1.4,0.0,83,3.8,0.0,79,5.1,0.0,96,2.2,0.0,86,2000.0,750.0,115.0893149
05/12/2023 06:00:00,7.0,0.0,81,4.7,0.0,78,4.3,0.0,80,2.3,0.0,89,6.1,0.0,84,7.0,0.0,77,1.7,0.0,82,3.6,0.0,86,5.0,0.0,96,2.8,0.0,83,2000.0,700.0,110.0
05/12/2023 07:00:00,6.9,0.0,83,4.6,0.0,75,4.1,0.0,83,2.2,0.0,79,6.1,0.0,82,6.9,0.0,78,1.5,0.0,83,3.9,0.0,81,5.1,0.0,98,2.4,0.0,86,2100.0,700.0,110.0
05/12/2023 08:00:00,7.8,0.0,76,4.8,0.0,73,4.6,0.0,80,2.8,0.0,70,6.7,0.0,82,7.8,0.0,73,2.2,0.0,79,4.3,0.0,81,6.2,0.0,90,2.6,0.0,85,2194.508436,700.0,110.0
05/12/2023 09:00:00,9.0,0.0,76,5.6,0.0,74,5.5,0.0,78,3.4,0.0,70,7.9,0.0,82,9.0,0.0,68,3.3,0.0,79,5.5,0.0,80,7.7,0.0,83,3.7,0.0,81,1900.0,700.0,100.0
05/12/2023 10:00:00,9.9,0.0,72,6.9,0.0,73,7.1,0.0,72,4.3,0.0,74,10.6,0.0,73,9.9,0.0,70,4.7,0.0,73,6.2,0.0,85,9.0,0.0,75,5.7,0.0,77,1800.0,700.0,91.90531152
05/12/2023 11:00:00,10.8,0.0,66,7.4,0.0,69,7.9,0.0,68,4.7,0.0,65,11.7,0.0,71,10.8,0.0,70,5.5,0.0,71,6.9,0.0,81,9.3,0.0,73,6.5,0.0,76,1700.0,550.0,90.0
05/12/2023 12:00:00,11.3,0.0,70,7.9,0.0,69,8.4,0.0,65,4.4,0.0,68,12.2,0.0,72,11.3,0.0,69,6.0,0.0,67,7.8,0.0,78,9.7,0.0,71,7.0,0.0,76,1700.0,550.0,90.0
05/12/2023 13:00:00,12.1,0.0,65,8.7,0.0,65,9.2,0.0,62,4.9,0.0,63,12.8,0.0,63,12.1,0.0,61,6.5,0.0,69,9.1,0.0,73,10.2,0.0,64,7.8,0.0,73,1500.0,550.0,90.0
05/12/2023 14:00:00,12.2,0.0,63,8.7,0.0,66,9.1,0.0,60,4.6,0.0,69,12.8,0.0,64,12.2,0.0,59,6.4,0.0,70,9.1,0.0,73,10.4,0.0,63,8.0,0.0,72,1200.0,550.0,90.0
05/12/2023 15:00:00,11.7,0.0,56,8.4,0.0,70,8.8,0.0,64,4.4,0.0,75,12.5,0.0,67,11.7,0.0,63,6.2,0.0,70,8.7,0.0,73,10.2,0.0,65,7.7,0.0,75,1200.0,524.2636876,89.67373647
05/12/2023 16:00:00,10.4,0.0,59,7.8,0.0,70,8.1,0.0,67,4.0,0.0,78,11.8,0.0,66,10.4,0.0,67,5.4,0.0,70,8.1,0.0,74,9.4,0.0,69,6.7,0.0,80,1200.0,500.0,90.36459464
05/12/2023 17:00:00,9.9,0.0,63,6.9,0.0,76,7.5,0.0,67,4.2,0.0,68,11.0,0.0,70,9.9,0.0,64,4.5,0.0,73,7.1,0.0,80,8.5,0.0,71,5.6,0.0,83,1200.0,450.0,90.0
05/12/2023 18:00:00,9.8,0.0,66,6.6,0.0,78,6.6,0.0,77,4.4,0.0,51,9.9,0.2,79,9.8,0.0,59,3.9,0.0,72,6.3,0.0,85,8.0,0.0,72,5.2,0.0,78,1200.0,450.0,90.0
05/12/2023 19:00:00,9.6,0.0,64,6.0,0.0,81,6.5,0.0,75,4.3,0.0,51,9.8,0.5,83,9.6,0.0,60,3.7,0.0,69,5.9,0.0,83,7.7,0.0,79,4.5,0.0,81,1200.0,450.0,90.0
05/12/2023 20:00:00,9.5,0.0,63,5.5,0.0,82,6.0,0.1,82,4.4,0.0,56,9.8,0.3,83,9.5,0.0,62,3.5,0.0,72,4.7,0.0,92,7.7,0.0,81,3.7,0.0,84,1200.0,450.0,89.54888778
05/12/2023 21:00:00,9.5,0.1,66,5.3,0.0,83,5.9,0.3,84,4.4,0.0,62,10.1,0.3,82,9.5,0.1,66,3.7,0.0,72,4.1,0.0,95,7.6,0.2,85,3.6,0.0,81,1200.0,450.0,90.0
05/12/2023 22:00:00,9.1,0.3,65,4.9,0.0,85,5.5,0.3,84,4.1,0.1,69,10.5,0.7,79,9.1,0.3,73,3.4,0.2,75,3.8,0.0,99,7.7,0.3,84,3.7,0.0,80,1200.0,450.0,90.0
05/12/2023 23:00:00,8.8,0.3,69,5.2,0.1,86,5.1,0.3,90,3.8,0.2,79,10.5,0.3,77,8.8,0.3,74,3.4,0.3,77,3.6,0.0,99,8.2,0.2,81,3.8,0.1,81,1200.0,450.0,90.0
06/12/2023 00:00:00,8.7,0.3,67,5.5,0.1,78,4.9,0.3,91,3.6,0.3,83,10.6,0.1,73,8.7,0.4,73,3.3,0.3,81,3.5,0.0,99,8.3,0.2,78,4.2,0.1,78,1000.0,400.0,100.0
06/12/2023 01:00:00,8.8,0.1,69,5.9,0.1,82,5.6,0.1,88,3.9,0.5,86,10.4,0.0,76,8.8,0.2,75,3.7,0.3,84,3.9,0.0,100,8.7,0.1,78,4.9,0.1,78,1000.0,400.0,100.0
06/12/2023 02:00:00,8.9,0.1,67,5.7,0.2,86,5.5,0.1,88,3.9,0.8,89,9.9,0.0,79,8.9,0.1,73,3.7,0.2,83,3.8,0.0,100,8.7,0.0,82,5.0,0.1,77,1000.0,400.0,100.0
06/12/2023 03:00:00,9.2,0.0,67,5.7,0.4,92,5.4,0.0,89,3.9,0.7,92,9.7,0.0,80,9.2,0.0,71,3.8,0.1,84,3.6,0.0,100,8.3,0.0,90,5.2,0.1,77,1000.0,400.0,100.0
06/12/2023 04:00:00,8.6,0.1,68,5.6,0.5,93,5.0,0.0,89,3.6,0.6,95,9.4,0.0,81,8.6,0.1,72,3.6,0.1,83,3.3,0.0,99,7.8,0.1,92,4.4,0.2,83,1000.0,400.0,100.0
06/12/2023 05:00:00,8.5,0.1,69,5.6,0.3,95,5.3,0.3,86,3.7,0.6,96,9.2,0.7,85,8.5,0.2,75,3.5,0.2,84,3.4,0.1,99,8.0,0.1,88,4.5,0.1,83,1000.0,400.0,100.0
06/12/2023 06:00:00,8.5,0.5,73,5.7,0.3,92,5.4,0.3,83,3.3,0.8,100,9.0,1.1,87,8.5,0.6,77,3.4,0.3,84,3.7,0.1,98,7.8,1.3,91,4.4,0.2,84,1000.0,400.0,100.0
06/12/2023 07:00:00,8.2,1.4,82,5.6,0.2,94,5.3,0.0,85,3.3,0.8,100,9.3,2.4,88,8.2,1.2,83,3.7,0.4,85,4.0,0.0,96,7.7,3.0,94,4.3,0.1,87,1000.0,390.0,100.0
06/12/2023 08:00:00,8.3,2.0,83,5.8,0.2,95,5.7,0.1,89,3.2,1.0,100,9.6,1.9,87,8.3,1.9,84,3.9,1.0,86,4.3,0.0,95,7.8,5.1,95,4.4,0.2,89,950.0,350.0,100.0
06/12/2023 09:00:00,8.6,2.8,83,6.2,0.4,97,6.3,0.5,90,3.1,1.8,99,9.9,0.2,88,8.6,3.3,85,4.2,1.7,87,4.8,0.2,96,8.3,1.2,94,4.7,0.4,92,900.0,300.0,100.0
