Date,VauDejes_temp,VauDejes_rain,VauDejes_humi,Koman_temp,Koman_rain,Koman_humi,Puke_temp,Puke_rain,Puke_humi,Dragobi_temp,Dragobi_rain,Dragobi_humi,Theth_temp,Theth_rain,Theth_humi,Kukes_temp,Kukes_rain,Kukes_humi,Okshtun_temp,Okshtun_rain,Okshtun_humi,Fierze_temp,Fierze_rain,Fierze_humi,Zogaj_temp,Zogaj_rain,Zogaj_humi,Peshkopi_temp,Peshkopi_rain,Peshkopi_humi,Inflows,InflowsTributary,InflowsTributary2
2024-02-28T14:00:00,20.2,0,38,17.7,0,51,16.9,0,40,13.4,0,53,21.1,0,43,20.2,0,43,14.7,0,46,17,0,54,20.2,0,51,16.9,0,49,230,80,10
2024-02-28T15:00:00,20,0,38,17.6,0,51,16.6,0,41,13.4,0,53,21.3,0,42,20,0,44,14.4,0,49,17.3,0,49,20,0,48,16.8,0,47,230,80,10
2024-02-28T16:00:00,19.4,0,41,16.9,0,54,15.8,0,44,12.9,0,55,20.3,0,48,19.4,0,45,13.6,0,52,16.9,0,50,19.3,0,46,16.2,0,48,230,80,10
2024-02-28T17:00:00,18.4,0,42,15.8,0,60,14.6,0,50,11.7,0,62,18.1,0,63,18.4,0,47,12.5,0,54,16,0,56,17.8,0,54,15.1,0,54,230,80,10
2024-02-28T18:00:00,17.5,0,45,14.3,0,62,13,0,56,10.4,0,68,16,0,70,17.5,0,49,11.3,0,59,14.5,0,62,16,0,59,13.7,0,60,230,80,10
2024-02-28T19:00:00,17.3,0,43,13.8,0,59,12.6,0,55,9.9,0,68,15.1,0,67,17.3,0,47,10.9,0,56,14.1,0,59,15,0,64,12.9,0,60,230,80,10
2024-02-28T20:00:00,17,0,44,13.1,0,63,11.6,0,62,9.3,0,70,15.2,0,58,17,0,49,10.3,0,57,13.3,0,56,14,0,72,11.9,0,63,230,80,10
2024-02-28T21:00:00,16.7,0,45,12.6,0,68,11,0,65,9.1,0,71,15.6,0,54,16.7,0,50,10.1,0,55,12.4,0,57,13.7,0,74,11.5,0,65,230,80,10
2024-02-28T22:00:00,16.6,0,46,12.4,0,68,10.5,0,67,8.9,0,72,15.8,0,56,16.6,0,50,9.9,0,57,10.9,0,73,14.1,0,71,11.3,0,67,230,80,10
2024-02-28T23:00:00,16.4,0,46,12,0,70,10,0,70,8.7,0,74,16.5,0,52,16.4,0,51,9.4,0,59,10.3,0,79,13.6,0,77,11.1,0,66,230,80,10
2024-02-29T00:00:00,16.3,0,46,11.6,0,74,10.2,0,68,8.6,0,75,16.7,0,51,16.3,0,53,9.3,0,61,9.9,0,81,13.4,0,78,10.9,0,67,230,80,10
2024-02-29T01:00:00,16.4,0,46,11.6,0,71,10,0,72,9.3,0,69,16.7,0,53,16.4,0,53,9.8,0,61,10.1,0,79,13.9,0,76,10.6,0,72,230,80,10
2024-02-29T02:00:00,16,0,49,11.7,0,72,10,0,74,9.3,0,67,16.3,0,56,16,0,55,9.7,0,63,9.9,0,82,13.6,0,78,10.4,0,74,230,80,10
2024-02-29T03:00:00,15.4,0.6,54,11.7,0,70,9.3,0.6,82,9.4,0.1,68,14.9,0.1,64,15.4,0.7,64,9.5,0.4,67,9.7,0,83,14.2,0.2,69,10.7,0,71,230,80,10
2024-02-29T04:00:00,15.3,0.1,56,11.6,0.4,75,9.3,0.7,87,9.3,1.7,73,15.6,0,60,15.3,0.3,62,9.7,0.8,67,9.3,0.2,82,13.7,0,76,10.2,0.4,77,230,80,10
2024-02-29T05:00:00,15.4,0,54,12.6,0.8,74,9.3,0.1,83,9.9,0.5,65,16.2,0,56,15.4,0,61,9.5,0,65,9.8,0.4,82,13.4,0,74,10.9,0.7,73,230,80,10
2024-02-29T06:00:00,15.5,0,51,11.8,0,79,8.9,0,87,10,0,66,16,0,56,15.5,0,59,9.5,0,64,9.6,0,80,13.4,0,69,10.1,0,80,230,80,10
2024-02-29T07:00:00,15.4,0,52,11.8,0,79,9,0,85,10.1,0,68,16.5,0,54,15.4,0,60,9.3,0,67,9.5,0,84,12.8,0,79,10.1,0,83,230,80,10
2024-02-29T08:00:00,15.8,0,51,12.5,0,77,10.1,0,83,10.4,0,68,17.1,0,56,15.8,0,60,9.8,0,65,10.3,0,83,14.1,0,77,10.8,0,82,230,80,10
2024-02-29T09:00:00,16.6,0,49,13.5,0,77,12.4,0,71,11.1,0,68,18.5,0,52,16.6,0,57,10.8,0,63,11.5,0,80,16.6,0,73,11.8,0,78,230,80,10
2024-02-29T10:00:00,17,0,50,13.9,0,79,13.5,0,66,11.8,0,66,19.5,0,48,17,0,57,11.1,0,62,11.9,0,82,18.4,0,58,12.1,0,79,230,80,10
2024-02-29T11:00:00,18.3,0,47,15,0,75,14.6,0,59,13,0,62,20.2,0,46,18.3,0,54,12,0,60,13.3,0,77,19.6,0,55,13.6,0,73,230,80,10
2024-02-29T12:00:00,18.1,0,48,15.7,0.1,74,15.1,0,57,13.1,0.1,62,20.9,0,45,18.1,0.1,57,12,0.2,63,13.9,0.1,74,19.9,0,53,14,0.2,73,230,80,10
2024-02-29T13:00:00,19.4,0,45,16.6,0.1,68,15.7,0,50,13.3,0,61,21.6,0,40,19.4,0,52,13.3,0,58,15.1,0,68,21.6,0,43,15.3,0.1,65,230,80,10
2024-02-29T14:00:00,19.5,0,46,16.9,0,63,15.7,0,49,13.3,0,59,21.5,0,42,19.5,0,52,13.5,0,57,15.6,0,65,21.2,0,46,15.6,0,60,230,80,10
2024-02-29T15:00:00,18.9,0,47,16.3,0,68,15.3,0,49,12.3,0,64,19.8,0.1,51,18.9,0,52,13.3,0,58,15.7,0,65,19.9,0,53,15.6,0,58,230,80,10
2024-02-29T16:00:00,18.6,0,46,16.2,0,64,14.8,0,48,11.7,0,66,18.5,0.4,57,18.6,0,51,12.7,0,57,15.9,0,59,19.6,0,48,15.5,0,57,230,80,10
2024-02-29T17:00:00,17.8,0,47,15.4,0,69,13.8,0,52,11.3,0,67,17.2,0,64,17.8,0,54,12,0,59,15.2,0,59,17.5,0.6,66,14.6,0,63,230,80,10
2024-02-29T18:00:00,17.2,0,50,14.7,0.1,69,13.4,0,52,10.7,0,70,17.1,0,55,17.2,0,56,11.4,0,63,14.1,0,61,16.2,0.1,77,13.8,0,65,230,80,10
2024-02-29T19:00:00,16.9,0,51,14.8,0,65,12.9,0.2,56,10.5,0,70,16.2,0,58,16.9,0,59,11.3,0.1,65,13.6,0,61,16.1,0,75,13.7,0,61,230,80,10
2024-02-29T20:00:00,16.3,0.1,53,14.5,0.1,66,11.4,0.3,69,10.3,0.4,70,15,0.1,69,16.3,0.3,63,10.7,0.6,70,13.3,0,66,16.2,0,59,13.3,0.2,64,230,80,10
2024-02-29T21:00:00,16.1,0.1,54,14.2,0.2,64,11.1,0.1,69,9.9,1,75,13.5,0.5,87,16.1,0.2,64,10.3,0.3,68,12.6,0,66,16,0,64,12.8,0.1,68,230,80,10
