Date	,	Inflows  (m3/s)	,	Inflows Tributary (m3/s)	,	Inflows Tributary (m3/s)
11/28/23 7:00	,	230	,	50	,	10
11/28/23 8:00	,	230	,	50	,	10
11/28/23 9:00	,	230	,	50	,	10
11/28/23 10:00	,	230	,	50	,	10
11/28/23 11:00	,	230	,	50	,	10
11/28/23 12:00	,	230	,	50	,	10
11/28/23 13:00	,	200	,	50	,	10
11/28/23 14:00	,	220	,	50	,	10
11/28/23 15:00	,	220	,	50	,	10
11/28/23 16:00	,	218.347279	,	50	,	10
11/28/23 17:00	,	220	,	50	,	10
11/28/23 18:00	,	222.7002693	,	50	,	10
11/28/23 19:00	,	220.7848256	,	50	,	10
11/28/23 20:00	,	220.8584989	,	62.12751354	,	10
11/28/23 21:00	,	221	,	60.82010731	,	10
11/28/23 22:00	,	215	,	60	,	10
11/28/23 23:00	,	215	,	60	,	10
11/29/23 0:00	,	215	,	60	,	10
11/29/23 1:00	,	215	,	60	,	10
11/29/23 2:00	,	215	,	60	,	10
11/29/23 3:00	,	200	,	60	,	10
11/29/23 4:00	,	200	,	60	,	10
11/29/23 5:00	,	200	,	60	,	10
11/29/23 6:00	,	220	,	70	,	10
11/29/23 7:00	,	220	,	70	,	10
11/29/23 8:00	,	220	,	70	,	10
11/29/23 9:00	,	250	,	70	,	10
11/29/23 10:00	,	250	,	90	,	10
11/29/23 11:00	,	300	,	90	,	30
11/29/23 12:00	,	297.8769105	,	120.4399099	,	30
11/29/23 13:00	,	330	,	130	,	30
11/29/23 14:00	,	330	,	180	,	30
11/29/23 15:00	,	330	,	249.696087	,	30
11/29/23 16:00	,	350	,	297.9360103	,	30
11/29/23 17:00	,	350	,	343.0226436	,	30
11/29/23 18:00	,	350	,	360	,	30
11/29/23 19:00	,	350	,	382.4753986	,	30
11/29/23 20:00	,	350	,	389.5899521	,	30
11/29/23 21:00	,	350	,	409.7445857	,	40
11/29/23 22:00	,	350	,	520	,	40
11/29/23 23:00	,	350	,	524.8588919	,	60
11/30/23 0:00	,	350	,	550	,	60
11/30/23 1:00	,	350	,	600	,	100
11/30/23 2:00	,	350	,	600	,	100
11/30/23 3:00	,	350	,	750	,	100
11/30/23 4:00	,	350	,	750	,	100
11/30/23 5:00	,	350	,	750	,	100
11/30/23 6:00	,	500	,	735.2910709	,	100
11/30/23 7:00	,	500	,	767.6920746	,	80
11/30/23 8:00	,	550	,	755.5969146	,	80
11/30/23 9:00	,	550	,	755.849055	,	80
11/30/23 10:00	,	550	,	810.1565849	,	80
11/30/23 11:00	,	550	,	977.3195614	,	100
11/30/23 12:00	,	550	,	1001.299559	,	100
11/30/23 13:00	,	550	,	1150	,	100
11/30/23 14:00	,	550	,	1200	,	100
11/30/23 15:00	,	600	,	1250.790071	,	123.5342131
11/30/23 16:00	,	700	,	1218.183367	,	124.454463
11/30/23 17:00	,	700	,	1150.985166	,	100
11/30/23 18:00	,	700	,	1254.743973	,	100
11/30/23 19:00	,	950	,	1254.802708	,	100
11/30/23 20:00	,	1000	,	1549.966258	,	100
11/30/23 21:00	,	1000	,	1549.987591	,	100
11/30/23 22:00	,	999.5512464	,	1549.847719	,	100
11/30/23 23:00	,	1000	,	1550.305356	,	100
12/1/23 0:00	,	1000	,	1499.786402	,	100
12/1/23 1:00	,	1000	,	1299.717101	,	100
12/1/23 2:00	,	1000	,	1250.197364	,	100
12/1/23 3:00	,	1000	,	1149.637884	,	100
12/1/23 4:00	,	1100	,	1100	,	100
12/1/23 5:00	,	1200	,	1000	,	100
12/1/23 6:00	,	1500	,	900	,	140.0681747
12/1/23 7:00	,	2000	,	880	,	134.9095707
12/1/23 8:00	,	2000	,	820	,	120.4414644
12/1/23 9:00	,	2000	,	800	,	120.0127808
12/1/23 10:00	,	2000	,	800	,	114.7126733
12/1/23 11:00	,	2000	,	750	,	115.0893149
12/1/23 12:00	,	2000	,	700	,	110
12/1/23 13:00	,	2100	,	700	,	110
12/1/23 14:00	,	2194.508436	,	700	,	110
12/1/23 15:00	,	1900	,	700	,	100
12/1/23 16:00	,	1800	,	700	,	91.90531152
12/1/23 17:00	,	1700	,	550	,	90
12/1/23 18:00	,	1700	,	550	,	90
12/1/23 19:00	,	1500	,	550	,	90
12/1/23 20:00	,	1200	,	550	,	90
12/1/23 21:00	,	1200	,	524.2636876	,	89.67373647
12/1/23 22:00	,	1200	,	500	,	90.36459464
12/1/23 23:00	,	1200	,	450	,	90
12/2/23 0:00	,	1200	,	450	,	90
12/2/23 1:00	,	1200	,	450	,	90
12/2/23 2:00	,	1200	,	450	,	89.54888778
12/2/23 3:00	,	1200	,	450	,	90
12/2/23 4:00	,	1200	,	450	,	90
12/2/23 5:00	,	1200	,	450	,	90
12/2/23 6:00	,	1000	,	400	,	100
12/2/23 7:00	,	1000	,	400	,	100
12/2/23 8:00	,	1000	,	400	,	100
12/2/23 9:00	,	1000	,	400	,	100
12/2/23 10:00	,	1000	,	400	,	100
