Date,Inflows  (m3/s),Inflows Tributary (m3/s),Inflows Tributary (m3/s)
1/7/24 10:00	,	270	,	100.0825106	,	19.96006473
1/7/24 11:00	,	270	,	99.93865548	,	20.03882042
1/7/24 12:00	,	270	,	100.0519104	,	19.60854542
1/7/24 13:00	,	270	,	149.9286571	,	29.815592
1/7/24 14:00	,	270	,	150.0141934	,	30.41234837
1/7/24 15:00	,	270	,	149.9970933	,	29.82414867
1/7/24 16:00	,	270	,	149.9557342	,	29.55453142
1/7/24 17:00	,	270	,	150.1094631	,	29.75228338
1/7/24 18:00	,	270	,	150	,	30.26218589
1/7/24 19:00	,	270	,	149.7236072	,	30.48493088
1/7/24 20:00	,	270	,	149.6202962	,	29.81111872
1/7/24 21:00	,	270	,	149.6191364	,	30.34485654
1/7/24 22:00	,	270	,	149.9041889	,	50.10324451
1/7/24 23:00	,	270	,	150.2004668	,	49.79697444
1/8/24 0:00	,	250	,	150.3185781	,	50.45950812
1/8/24 1:00	,	250	,	150	,	50.49115148
1/8/24 2:00	,	250	,	150	,	49.52276924
1/8/24 3:00	,	250	,	150	,	48.54383357
1/8/24 4:00	,	250	,	150	,	48.57540886
1/8/24 5:00	,	250	,	150	,	48.64898605
1/8/24 6:00	,	250	,	170	,	50.47347908
1/8/24 7:00	,	250	,	170	,	49.86200109
1/8/24 8:00	,	250	,	170	,	50.12110165
1/8/24 9:00	,	250	,	180.3213498	,	50.18655368
1/8/24 10:00	,	250	,	180.1906746	,	50.48219826
1/8/24 11:00	,	250	,	200.1906746	,	50.33333257
1/8/24 12:00	,	250	,	249.8502444	,	50.14623836
1/8/24 13:00	,	280	,	249.7452996	,	69.87251707
1/8/24 14:00	,	280	,	300.4665381	,	70.01081892
1/8/24 15:00	,	280	,	299.6813033	,	80.43605375
1/8/24 16:00	,	280	,	300.2818651	,	80.29132236
1/8/24 17:00	,	280	,	300.2818651	,	79.64175716
1/8/24 18:00	,	280	,	299.6837345	,	80.05265986
1/8/24 19:00	,	280	,	300.1593085	,	79.90547785
1/8/24 20:00	,	280	,	300.0344723	,	79.90683647
1/8/24 21:00	,	280	,	300.4722491	,	80.16127518
1/8/24 22:00	,	300	,	299.5379958	,	80.05935732
1/8/24 23:00	,	300	,	299.55551	,	80.07924108
1/9/24 0:00	,	280	,	179.7646179	,	59.99203961
1/9/24 1:00	,	280	,	180	,	60.08522375
1/9/24 2:00	,	280	,	180	,	60.40833552
1/9/24 3:00	,	280	,	180	,	60.44953811
1/9/24 4:00	,	280	,	180	,	60.47012412
1/9/24 5:00	,	280	,	180	,	59.75103876
1/9/24 6:00	,	280	,	180.4151783	,	60.40294866
1/9/24 7:00	,	280	,	180.066458	,	59.78001285
1/9/24 8:00	,	250	,	179.5839509	,	39.63982984
1/9/24 9:00	,	250	,	179.7072506	,	40.47674752
1/9/24 10:00	,	250	,	180.1590335	,	40.31992988
1/9/24 11:00	,	250	,	180	,	30
1/9/24 12:00	,	250	,	180	,	30
1/9/24 13:00	,	250	,	180	,	30
1/9/24 14:00	,	250	,	180	,	30
1/9/24 15:00	,	250	,	180	,	30
1/9/24 16:00	,	250	,	180	,	30
1/9/24 17:00	,	250	,	180	,	30
1/9/24 18:00	,	250	,	180	,	30
1/9/24 19:00	,	250	,	180	,	30
1/9/24 20:00	,	250	,	180	,	30
1/9/24 21:00	,	250	,	180	,	30
1/9/24 22:00	,	250	,	180	,	30
1/9/24 23:00	,	250	,	180	,	30
1/10/24 0:00	,	250	,	150	,	30
1/10/24 1:00	,	250	,	150	,	30
1/10/24 2:00	,	250	,	150	,	30
1/10/24 3:00	,	250	,	150	,	30
1/10/24 4:00	,	250	,	150	,	30
1/10/24 5:00	,	250	,	150	,	30
1/10/24 6:00	,	250	,	149.6010283	,	30
