Date,Inflows  (m3/s),Inflows Tributary (m3/s),Inflows Tributary (m3/s)
1/2/24 5:00,230,50,10
1/2/24 6:00,230,50,10
1/2/24 7:00,230,50,10
1/2/24 8:00,230,50,10
1/2/24 9:00,230,50,10
1/2/24 10:00,230,50,10
1/2/24 11:00,200,50,10
1/2/24 12:00,220,50,10
1/2/24 13:00,220,50,10
1/2/24 14:00,218.347279,50,10
1/2/24 15:00,220,50,10
1/2/24 16:00,222.7002693,50,10
1/2/24 17:00,220.7848256,50,10
1/2/24 18:00,220.8584989,62.12751354,10
1/2/24 19:00,221,60.82010731,10
1/2/24 20:00,215,60,10
1/2/24 21:00,215,60,10
1/2/24 22:00,215,60,10
1/2/24 23:00,215,60,10
1/3/24 0:00,215,60,10
1/3/24 1:00,200,60,10
1/3/24 2:00,200,60,10
1/3/24 3:00,200,60,10
1/3/24 4:00,220,70,10
1/3/24 5:00,220,70,10
1/3/24 6:00,220,70,10
1/3/24 7:00,250,70,10
1/3/24 8:00,250,90,10
1/3/24 9:00,300,90,30
1/3/24 10:00,297.8769105,120.4399099,30
1/3/24 11:00,330,130,30
1/3/24 12:00,330,180,30
1/3/24 13:00,330,249.696087,30
1/3/24 14:00,350,297.9360103,30
1/3/24 15:00,350,343.0226436,30
1/3/24 16:00,350,360,30
1/3/24 17:00,350,382.4753986,30
1/3/24 18:00,350,389.5899521,30
1/3/24 19:00,350,409.7445857,40
1/3/24 20:00,350,520,40
1/3/24 21:00,350,524.8588919,60
1/3/24 22:00,350,550,60
1/3/24 23:00,350,600,100
1/4/24 0:00,350,600,100
1/4/24 1:00,350,750,100
1/4/24 2:00,350,750,100
1/4/24 3:00,350,750,100
1/4/24 4:00,500,735.2910709,100
1/4/24 5:00,500,767.6920746,80
1/4/24 6:00,550,755.5969146,80
1/4/24 7:00,550,755.849055,80
1/4/24 8:00,550,810.1565849,80
1/4/24 9:00,550,977.3195614,100
1/4/24 10:00,550,1001.299559,100
1/4/24 11:00,550,1150,100
1/4/24 12:00,550,1200,100
1/4/24 13:00,600,1250.790071,123.5342131
1/4/24 14:00,700,1218.183367,124.454463
1/4/24 15:00,700,1150.985166,100
1/4/24 16:00,700,1254.743973,100
1/4/24 17:00,950,1254.802708,100
1/4/24 18:00,1000,1549.966258,100
1/4/24 19:00,1000,1549.987591,100
1/4/24 20:00,999.5512464,1549.847719,100
1/4/24 21:00,1000,1550.305356,100
1/4/24 22:00,1000,1499.786402,100
1/4/24 23:00,1000,1299.717101,100
1/5/24 0:00,1000,1250.197364,100
1/5/24 1:00,1000,1149.637884,100
1/5/24 2:00,1100,1100,100
1/5/24 3:00,1200,1000,100
1/5/24 4:00,1500,900,140.0681747
1/5/24 5:00,2000,880,134.9095707
1/5/24 6:00,2000,820,120.4414644
1/5/24 7:00,2000,800,120.0127808
1/5/24 8:00,2000,800,114.7126733
1/5/24 9:00,2000,750,115.0893149
1/5/24 10:00,2000,700,110
1/5/24 11:00,2100,700,110
1/5/24 12:00,2194.508436,700,110
1/5/24 13:00,1900,700,100
1/5/24 14:00,1800,700,91.90531152
1/5/24 15:00,1700,550,90
1/5/24 16:00,1700,550,90
1/5/24 17:00,1500,550,90
1/5/24 18:00,1200,550,90
1/5/24 19:00,1200,524.2636876,89.67373647
1/5/24 20:00,1200,500,90.36459464
1/5/24 21:00,1200,450,90
1/5/24 22:00,1200,450,90
1/5/24 23:00,1200,450,90
1/6/24 0:00,1200,450,89.54888778
1/6/24 1:00,1200,450,90
1/6/24 2:00,1200,450,90
1/6/24 3:00,1200,450,90
1/6/24 4:00,1000,400,100
1/6/24 5:00,1000,400,100
1/6/24 6:00,1000,400,100
1/6/24 7:00,1000,400,100
1/6/24 8:00,1000,400,100
1/6/24 9:00,1000,400,100
1/6/24 10:00,1000,400,100
1/6/24 11:00,1000,390,100
1/6/24 12:00,950,350,100
1/6/24 13:00,900,300,100
1/6/24 14:00,844.6480291,300,100
1/6/24 15:00,844.9406068,300.424389,100
1/6/24 16:00,844.683354,299.8642605,100
1/6/24 17:00,844.6098038,300.1205087,100
1/6/24 18:00,750,300,100
1/6/24 19:00,700,300,100
1/6/24 20:00,700,300,100
1/6/24 21:00,650,300,100
1/6/24 22:00,650,300,100
1/6/24 23:00,650,300,100
1/7/24 0:00,650,300,100
1/7/24 1:00,600,280,100
1/7/24 2:00,600,280,100
1/7/24 3:00,600,279.8947123,100
1/7/24 4:00,600,285,89.57606678
1/7/24 5:00,600,285,89.85299264
1/7/24 6:00,600,285,89.99111027
1/7/24 7:00,600,285,80.15195922
1/7/24 8:00,600,285.3554623,80
1/7/24 9:00,600,285.2654571,80
1/7/24 10:00,600,285,80
1/7/24 11:00,450,280,80
1/7/24 12:00,450,250,80
