Date	,	Inflows  (m3/s)	,	Inflows Tributary (m3/s)	,	Inflows Tributary (m3/s)
11/12/2023 0:00	,	230	,	50	,	10
11/12/2023 1:00	,	230	,	50	,	10
11/12/2023 2:00	,	230	,	50	,	10
11/12/2023 3:00	,	230	,	50	,	10
11/12/2023 4:00	,	230	,	50	,	10
11/12/2023 5:00	,	230	,	50	,	10
11/12/2023 6:00	,	230	,	50	,	10
11/12/2023 7:00	,	200	,	50	,	10
11/12/2023 8:00	,	220	,	50	,	10
11/12/2023 9:00	,	220	,	50	,	10
11/12/2023 10:00	,	218.347279	,	50	,	10
11/12/2023 11:00	,	220	,	50	,	10
11/12/2023 12:00	,	222.7002693	,	50	,	10
11/12/2023 13:00	,	220.7848256	,	50	,	10
11/12/2023 14:00	,	220.8584989	,	62.12751354	,	10
11/12/2023 15:00	,	221	,	60.82010731	,	10
11/12/2023 16:00	,	215	,	60	,	10
11/12/2023 17:00	,	215	,	60	,	10
11/12/2023 18:00	,	215	,	60	,	10
11/12/2023 19:00	,	215	,	60	,	10
11/12/2023 20:00	,	215	,	60	,	10
11/12/2023 21:00	,	200	,	60	,	10
11/12/2023 22:00	,	200	,	60	,	10
11/12/2023 23:00	,	200	,	60	,	10
11/13/2023 0:00	,	220	,	70	,	10
11/13/2023 1:00	,	220	,	70	,	10
11/13/2023 2:00	,	220	,	70	,	10
11/13/2023 3:00	,	250	,	70	,	10
11/13/2023 4:00	,	250	,	90	,	10
11/13/2023 5:00	,	300	,	90	,	30
11/13/2023 6:00	,	297.8769105	,	120.4399099	,	30
11/13/2023 7:00	,	330	,	130	,	30
11/13/2023 8:00	,	330	,	180	,	30
11/13/2023 9:00	,	330	,	249.696087	,	30
11/13/2023 10:00	,	350	,	297.9360103	,	30
11/13/2023 11:00	,	350	,	343.0226436	,	30
11/13/2023 12:00	,	350	,	360	,	30
11/13/2023 13:00	,	350	,	382.4753986	,	30
11/13/2023 14:00	,	350	,	389.5899521	,	30
11/13/2023 15:00	,	350	,	409.7445857	,	40
11/13/2023 16:00	,	350	,	520	,	40
11/13/2023 17:00	,	350	,	524.8588919	,	60
11/13/2023 18:00	,	350	,	550	,	60
11/13/2023 19:00	,	350	,	600	,	100
11/13/2023 20:00	,	350	,	600	,	100
11/13/2023 21:00	,	350	,	750	,	100
11/13/2023 22:00	,	350	,	750	,	100
11/13/2023 23:00	,	350	,	750	,	100
11/14/2023 0:00	,	500	,	735.2910709	,	100
11/14/2023 1:00	,	500	,	767.6920746	,	80
11/14/2023 2:00	,	550	,	755.5969146	,	80
11/14/2023 3:00	,	550	,	755.849055	,	80
11/14/2023 4:00	,	550	,	810.1565849	,	80
11/14/2023 5:00	,	550	,	977.3195614	,	100
11/14/2023 6:00	,	550	,	1001.299559	,	100
11/14/2023 7:00	,	550	,	1150	,	100
11/14/2023 8:00	,	550	,	1200	,	100
11/14/2023 9:00	,	600	,	1250.790071	,	123.5342131
11/14/2023 10:00	,	700	,	1218.183367	,	124.454463
11/14/2023 11:00	,	700	,	1150.985166	,	100
11/14/2023 12:00	,	700	,	1254.743973	,	100
