Date	,	Inflows  (m3/s)	,	Inflows Tributary (m3/s)	,	Inflows Tributary (m3/s)
12/7/23 5:00	,	230	,	50	,	10
12/7/23 6:00	,	230	,	50	,	10
12/7/23 7:00	,	230	,	50	,	10
12/7/23 8:00	,	230	,	50	,	10
12/7/23 9:00	,	230	,	50	,	10
12/7/23 10:00	,	230	,	50	,	10
12/7/23 11:00	,	200	,	50	,	10
12/7/23 12:00	,	220	,	50	,	10
12/7/23 13:00	,	220	,	50	,	10
12/7/23 14:00	,	218.347279	,	50	,	10
12/7/23 15:00	,	220	,	50	,	10
12/7/23 16:00	,	222.7002693	,	50	,	10
12/7/23 17:00	,	220.7848256	,	50	,	10
12/7/23 18:00	,	220.8584989	,	62.12751354	,	10
12/7/23 19:00	,	221	,	60.82010731	,	10
12/7/23 20:00	,	215	,	60	,	10
12/7/23 21:00	,	215	,	60	,	10
12/7/23 22:00	,	215	,	60	,	10
12/7/23 23:00	,	215	,	60	,	10
12/8/23 0:00	,	215	,	60	,	10
12/8/23 1:00	,	200	,	60	,	10
12/8/23 2:00	,	200	,	60	,	10
12/8/23 3:00	,	200	,	60	,	10
12/8/23 4:00	,	220	,	70	,	10
12/8/23 5:00	,	220	,	70	,	10
12/8/23 6:00	,	220	,	70	,	10
12/8/23 7:00	,	250	,	70	,	10
12/8/23 8:00	,	250	,	90	,	10
12/8/23 9:00	,	300	,	90	,	30
12/8/23 10:00	,	297.8769105	,	120.4399099	,	30
12/8/23 11:00	,	330	,	130	,	30
12/8/23 12:00	,	330	,	180	,	30
12/8/23 13:00	,	330	,	249.696087	,	30
12/8/23 14:00	,	350	,	297.9360103	,	30
12/8/23 15:00	,	350	,	343.0226436	,	30
12/8/23 16:00	,	350	,	360	,	30
12/8/23 17:00	,	350	,	382.4753986	,	30
12/8/23 18:00	,	350	,	389.5899521	,	30
12/8/23 19:00	,	350	,	409.7445857	,	40
12/8/23 20:00	,	350	,	520	,	40
12/8/23 21:00	,	350	,	524.8588919	,	60
12/8/23 22:00	,	350	,	550	,	60
12/8/23 23:00	,	350	,	600	,	100
12/9/23 0:00	,	350	,	600	,	100
12/9/23 1:00	,	350	,	750	,	100
12/9/23 2:00	,	350	,	750	,	100
12/9/23 3:00	,	350	,	750	,	100
12/9/23 4:00	,	500	,	735.2910709	,	100
12/9/23 5:00	,	500	,	767.6920746	,	80
12/9/23 6:00	,	550	,	755.5969146	,	80
12/9/23 7:00	,	550	,	755.849055	,	80
12/9/23 8:00	,	550	,	810.1565849	,	80
12/9/23 9:00	,	550	,	977.3195614	,	100
12/9/23 10:00	,	550	,	1001.299559	,	100
12/9/23 11:00	,	550	,	1150	,	100
12/9/23 12:00	,	550	,	1200	,	100
12/9/23 13:00	,	600	,	1250.790071	,	123.5342131
12/9/23 14:00	,	700	,	1218.183367	,	124.454463
12/9/23 15:00	,	700	,	1150.985166	,	100
12/9/23 16:00	,	700	,	1254.743973	,	100
12/9/23 17:00	,	950	,	1254.802708	,	100
12/9/23 18:00	,	1000	,	1549.966258	,	100
12/9/23 19:00	,	1000	,	1549.987591	,	100
12/9/23 20:00	,	999.5512464	,	1549.847719	,	100
12/9/23 21:00	,	1000	,	1550.305356	,	100
12/9/23 22:00	,	1000	,	1499.786402	,	100
12/9/23 23:00	,	1000	,	1299.717101	,	100
12/10/23 0:00	,	1000	,	1250.197364	,	100
12/10/23 1:00	,	1000	,	1149.637884	,	100
12/10/23 2:00	,	1100	,	1100	,	100
12/10/23 3:00	,	1200	,	1000	,	100
12/10/23 4:00	,	1500	,	900	,	140.0681747
12/10/23 5:00	,	2000	,	880	,	134.9095707
12/10/23 6:00	,	2000	,	820	,	120.4414644
12/10/23 7:00	,	2000	,	800	,	120.0127808
12/10/23 8:00	,	2000	,	800	,	114.7126733
12/10/23 9:00	,	2000	,	750	,	115.0893149
12/10/23 10:00	,	2000	,	700	,	110
12/10/23 11:00	,	2100	,	700	,	110
12/10/23 12:00	,	2194.508436	,	700	,	110
12/10/23 13:00	,	1900	,	700	,	100
12/10/23 14:00	,	1800	,	700	,	91.90531152
12/10/23 15:00	,	1700	,	550	,	90
12/10/23 16:00	,	1700	,	550	,	90
12/10/23 17:00	,	1500	,	550	,	90
12/10/23 18:00	,	1200	,	550	,	90
12/10/23 19:00	,	1200	,	524.2636876	,	89.67373647
12/10/23 20:00	,	1200	,	500	,	90.36459464
12/10/23 21:00	,	1200	,	450	,	90
12/10/23 22:00	,	1200	,	450	,	90
12/10/23 23:00	,	1200	,	450	,	90
12/11/23 0:00	,	1200	,	450	,	89.54888778
12/11/23 1:00	,	1200	,	450	,	90
12/11/23 2:00	,	1200	,	450	,	90
12/11/23 3:00	,	1200	,	450	,	90
12/11/23 4:00	,	1000	,	400	,	100
12/11/23 5:00	,	1000	,	400	,	100
12/11/23 6:00	,	1000	,	400	,	100
12/11/23 7:00	,	1000	,	400	,	100
12/11/23 8:00	,	1000	,	400	,	100
12/11/23 9:00	,	1000	,	400	,	100
12/11/23 10:00	,	1000	,	400	,	100
12/11/23 11:00	,	1000	,	390	,	100
12/11/23 12:00	,	950	,	350	,	100
12/11/23 13:00	,	900	,	300	,	100
12/11/23 14:00	,	844.6480291	,	300	,	100
12/11/23 15:00	,	844.9406068	,	300.424389	,	100
12/11/23 16:00	,	844.683354	,	299.8642605	,	100
12/11/23 17:00	,	844.6098038	,	300.1205087	,	100
12/11/23 18:00	,	750	,	300	,	100
12/11/23 19:00	,	700	,	300	,	100
12/11/23 20:00	,	700	,	300	,	100
12/11/23 21:00	,	650	,	300	,	100
12/11/23 22:00	,	650	,	300	,	100
12/11/23 23:00	,	650	,	300	,	100
12/12/23 0:00	,	650	,	300	,	100
12/12/23 1:00	,	600	,	280	,	100
12/12/23 2:00	,	600	,	280	,	100
12/12/23 3:00	,	600	,	279.8947123	,	100
12/12/23 4:00	,	600	,	285	,	89.57606678
12/12/23 5:00	,	600	,	285	,	89.85299264
12/12/23 6:00	,	600	,	285	,	89.99111027
12/12/23 7:00	,	600	,	285	,	80.15195922
12/12/23 8:00	,	600	,	285.3554623	,	80
12/12/23 9:00	,	600	,	285.2654571	,	80
12/12/23 10:00	,	600	,	285	,	80
12/12/23 11:00	,	450	,	280	,	80
12/12/23 12:00	,	450	,	250	,	80
