Datetime,1_FierzaStorage,2_KomanStorage,3_VDejesStorage
1/1/2022 0:00,743.43,404.87,83.43
2/1/2022 0:00,367.15,254.24,75.99
3/1/2022 0:00,244.74,223.52,40.12
4/1/2022 0:00,228.95,219.17,17.77
5/1/2022 0:00,202.52,182.74,27.44
6/1/2022 0:00,220.06,222.81,53.23
7/1/2022 0:00,478.59,409.65,121.01
8/1/2022 0:00,1876.32,858.17,483.68
9/1/2022 0:00,1835.17,559.12,295.67
10/1/2022 0:00,1413.84,489.26,245.48
11/1/2022 0:00,2380.51,858.01,396.4
12/1/2022 0:00,1467.15,444.52,216.7
13/01/2022 00:00,745.19,306.4,197.79
14/01/2022 00:00,553.82,208.1,127.08
15/01/2022 00:00,400.8,226.04,131.57
16/01/2022 00:00,329.14,194.76,111.7
17/01/2022 00:00,375.04,102.48,89.86
18/01/2022 00:00,276.92,119.02,50
19/01/2022 00:00,244.77,84.54,117.15
20/01/2022 00:00,248.92,88.43,106.7
21/01/2022 00:00,265.59,70.82,122.33
22/01/2022 00:00,286.34,246,134.63
23/01/2022 00:00,354.78,327.61,104.72
24/01/2022 00:00,418.03,464.52,171.55
25/01/2022 00:00,1044.82,689.79,347.21
26/01/2022 00:00,1303.01,572.73,313.85
27/01/2022 00:00,869.5,255.15,271.26
28/01/2022 00:00,532.35,191.84,111.7
29/01/2022 00:00,424.64,173.39,124.89
30/01/2022 00:00,608.05,225.14,210.24
31/01/2022 00:00,758.88,222.41,214.02
1/2/2022 0:00,670,175,60
2/2/2022 0:00,380,111,26
3/2/2022 0:00,283,89,27
4/2/2022 0:00,308,78,30
5/2/2022 0:00,265,64,35
6/2/2022 0:00,324,140,81
7/2/2022 0:00,451,162,83
8/2/2022 0:00,371,110,26
9/2/2022 0:00,279,93,35
10/2/2022 0:00,288,80,48
11/2/2022 0:00,362,102,118
12/2/2022 0:00,324,163,80
13/02/2022 00:00,516,140,80
14/02/2022 00:00,431,128,63
15/02/2022 00:00,371,100,34
16/02/2022 00:00,341,111,38
17/02/2022 00:00,563,254,82
18/02/2022 00:00,912,570,184
19/02/2022 00:00,939,383,181
20/02/2022 00:00,964,597,145
21/02/2022 00:00,1101,572,248
22/02/2022 00:00,792,311,192
23/02/2022 00:00,736,573,234
24/02/2022 00:00,1573,722,452
25/02/2022 00:00,925,496,545
26/02/2022 00:00,636,322,229
27/02/2022 00:00,747,352,267
28/02/2022 00:00,569,292,197
1/3/2022 0:00,248.77,34.53,110.55
2/3/2022 0:00,626.71,606.51,291.92
3/3/2022 0:00,1413.37,598.02,240.58
4/3/2022 0:00,1528.26,487.8,284.34
5/3/2022 0:00,993.53,377.37,261.1
6/3/2022 0:00,836.44,492.79,281.07
7/3/2022 0:00,1107.31,565.16,271.45
8/3/2022 0:00,928.61,540.33,274.98
9/3/2022 0:00,679.31,346.9,248.28
10/3/2022 0:00,548.29,234.27,61.56
11/3/2022 0:00,491.56,190.48,50
12/3/2022 0:00,514.03,336.17,237.51
13/03/2022 00:00,734.06,389.77,310.52
14/03/2022 00:00,615.73,323.44,253.18
15/03/2022 00:00,531.55,240.66,256.83
16/03/2022 00:00,509.06,283.13,266.6
17/03/2022 00:00,490.06,313.95,284.22
18/03/2022 00:00,617.54,558.96,278.92
19/03/2022 00:00,893.69,524.45,454.66
20/03/2022 00:00,931.84,411.66,463.51
21/03/2022 00:00,953.34,399.1,364.6
22/03/2022 00:00,772.53,320.87,318.47
23/03/2022 00:00,630.15,274.88,242.62
24/03/2022 00:00,537.48,220.66,270.75
25/03/2022 00:00,511.57,153.46,94.39
26/03/2022 00:00,573.46,164.67,128.41
27/03/2022 00:00,707.29,177.67,150.27
28/03/2022 00:00,576.11,199.35,140.12
29/03/2022 00:00,515.22,177.95,120.41
30/03/2022 00:00,504.94,136.18,100.61
31/03/2022 00:00,484.13,156.2,98.13
1/4/2022 0:00,435,473.49,112
2/4/2022 0:00,429,402,132
3/4/2022 0:00,452,367.44,79
4/4/2022 0:00,381,295.82,98
5/4/2022 0:00,430,332.71,84
6/4/2022 0:00,452,397.59,80
7/4/2022 0:00,401,359.18,57
8/4/2022 0:00,363,275.28,98
9/4/2022 0:00,346,281.94,98
10/4/2022 0:00,338,298,105
11/4/2022 0:00,307,314.31,105
12/4/2022 0:00,311,243.76,158
13/04/2022 00:00,332,188.05,118
14/04/2022 00:00,393,225.71,120
15/04/2022 00:00,755,182.99,102
16/04/2022 00:00,1016,180.58,108
17/04/2022 00:00,915,153.94,122
18/04/2022 00:00,777,167.47,81
19/04/2022 00:00,835,163.15,114
20/04/2022 00:00,1245,160.9,150
21/04/2022 00:00,1031,161.72,121
22/04/2022 00:00,745,140.44,147
23/04/2022 00:00,673,152,118
24/04/2022 00:00,579,168.68,114
25/04/2022 00:00,591,172.59,114
26/04/2022 00:00,527,199.46,93
27/04/2022 00:00,536,190.9,95
28/04/2022 00:00,486,188.78,95
29/04/2022 00:00,478,204.63,95
30/04/2022 00:00,461,194.1,82
